Campo Formativo,Materia,Grado,Contenido,Proceso de Desarrollo de Aprendizaje (PDA)
Saberes y Pensamiento Científico,Biología,1º,El calentamiento global a partir de las prácticas de consumo y su alteración a la biodiversidad.,"Analiza las causas del calentamiento global y sus efectos en la biodiversidad de los ecosistemas, argumentando la importancia de implementar acciones de mitigación del cambio climático."
Saberes y Pensamiento Científico,Biología,1º,Importancia del microscopio para el conocimiento de las células y la biodiversidad.,"Compara la estructura y funciones de la célula con respecto a las características de los seres vivos, argumentando que las células forman tejidos, órganos y sistemas en los organismos complejos."
Saberes y Pensamiento Científico,Biología,1º,Importancia del microscopio para el conocimiento de las células y la biodiversidad.,Describe el papel de la tecnología en el conocimiento de las células y los seres vivos que no se pueden ver a simple vista mediante el uso del microscopio óptico.
Saberes y Pensamiento Científico,Biología,1º,Las vacunas: su relevancia en el control de algunas enfermedades infecciosas.,"Valora la importancia de las vacunas en la prevención y control de enfermedades transmisibles e infecciosas, reconociendo el impacto de la vacunación en la salud pública y colectiva."
Saberes y Pensamiento Científico,Biología,1º,Las vacunas: su relevancia en el control de algunas enfermedades infecciosas.,"Describe las características generales de las bacterias y los virus, formula hipótesis en torno al por qué contraemos enfermedades infecciosas y las contrasta con fuentes de consulta de libre acceso, y argumenta de qué manera la vacunación contribuye de forma colectiva a la erradicación de enfermedades."
Saberes y Pensamiento Científico,Biología,1º,Funcionamiento del cuerpo humano coordinado por los sistemas nervioso y endocrino.,Explica la participación de los sistemas nervioso y endocrino en la coordinación de las funciones del cuerpo humano;
Saberes y Pensamiento Científico,Biología,1º,Funcionamiento del cuerpo humano coordinado por los sistemas nervioso y endocrino.,reconoce el papel general de las hormonas y sus efectos en la maduración sexual y en la reproducción.
Saberes y Pensamiento Científico,Biología,1º,Funcionamiento del cuerpo humano coordinado por los sistemas nervioso y endocrino.,Explica los efectos del consumo de sustancias adictivas en el sistema nervioso y en el funcionamiento integral del cuerpo humano;
Saberes y Pensamiento Científico,Biología,1º,Funcionamiento del cuerpo humano coordinado por los sistemas nervioso y endocrino.,"argumenta la importancia de evitar su consumo a partir del análisis de sus implicaciones en la salud, la sexualidad, la economía y la sociedad;"
Saberes y Pensamiento Científico,Biología,1º,Funcionamiento del cuerpo humano coordinado por los sistemas nervioso y endocrino.,comparte sus aprendizajes por distintos medios.
Saberes y Pensamiento Científico,Biología,1º,Prevención de enfermedades relacionadas con la alimentación y el consumo de alimentos ultraprocesados.,"Identifica causas de la obesidad y la diabetes relacionadas con la dieta y el sedentarismo, a fin de formular su proyecto de vida saludable;"
Saberes y Pensamiento Científico,Biología,1º,Prevención de enfermedades relacionadas con la alimentación y el consumo de alimentos ultraprocesados.,"incluye factores protectores y propone acciones para reducir factores de riesgo, incluyendo su entorno familiar y comunitario."
Saberes y Pensamiento Científico,Biología,1º,Prevención de enfermedades relacionadas con la alimentación y el consumo de alimentos ultraprocesados.,Formula hipótesis acerca de las consecuencias de carencia o exceso de nutrimentos en la dieta;
Saberes y Pensamiento Científico,Biología,1º,Prevención de enfermedades relacionadas con la alimentación y el consumo de alimentos ultraprocesados.,"interpreta datos que muestran la correlación entre la incidencia de enfermedades como la caries e hipertensión y el consumo de exceso de sal, azúcar y grasas saturadas."
Saberes y Pensamiento Científico,Biología,1º,La diversidad de saberes e intercambio de conocimientos acerca de los seres vivos y las relaciones con el medio ambiente.,"Reconoce la importancia de los conocimientos, prácticas e innovaciones de los pueblos originarios acerca de los seres vivos;"
Saberes y Pensamiento Científico,Biología,1º,La diversidad de saberes e intercambio de conocimientos acerca de los seres vivos y las relaciones con el medio ambiente.,"intercambia vivencias y experiencias asociadas al aprovechamiento y la protección como el uso de la herbolaria, la milpa o la conservación de los bosques."
Saberes y Pensamiento Científico,Biología,1º,La diversidad de saberes e intercambio de conocimientos acerca de los seres vivos y las relaciones con el medio ambiente.,Explica por qué los saberes de los pueblos originarios han aportado al aprovechamiento de los recursos naturales en el ecosistema local;
Saberes y Pensamiento Científico,Biología,1º,La diversidad de saberes e intercambio de conocimientos acerca de los seres vivos y las relaciones con el medio ambiente.,"analiza sus contribuciones a la agricultura, el pastoreo y la pesca sustentables;"
Saberes y Pensamiento Científico,Biología,1º,La diversidad de saberes e intercambio de conocimientos acerca de los seres vivos y las relaciones con el medio ambiente.,comunica sus hallazgos usando diferentes lenguajes y representaciones.
Saberes y Pensamiento Científico,Física,2º,"El pensamiento científico, una forma de plantear y solucionar problemas y su incidencia en la transformación de la sociedad.",Describe problemas comunes de la vida cotidiana explicando cómo se procede para buscarles solución;
Saberes y Pensamiento Científico,Física,2º,"El pensamiento científico, una forma de plantear y solucionar problemas y su incidencia en la transformación de la sociedad.",conoce y caracteriza el pensamiento científico para plantearse y resolver problemas en la escuela y su cotidianeidad.
Saberes y Pensamiento Científico,Física,2º,"El pensamiento científico, una forma de plantear y solucionar problemas y su incidencia en la transformación de la sociedad.",Indaga en diferentes fuentes de consulta las aportaciones de mujeres y hombres en el desarrollo de la Física y su contribución al conocimiento científico y tecnológico a nivel nacional e internacional para valorar su influencia en la sociedad actual.
Saberes y Pensamiento Científico,Física,2º,Unidades y medidas utilizados en Física.,"Identifica las unidades de medición que se ocupan en su entorno escolar, familiar y en su comunidad."
Saberes y Pensamiento Científico,Física,2º,Unidades y medidas utilizados en Física.,"Identifica cuáles son, cómo se definen y cuál es la simbología de las unidades básicas y derivadas del Sistema Internacional de Unidades."
Saberes y Pensamiento Científico,Física,2º,Unidades y medidas utilizados en Física.,Conoce los instrumentos de medición y realiza conversiones con los múltiplos y submúltiplos al referirse a una magnitud.
Saberes y Pensamiento Científico,Física,2º,"Estructura, propiedades y características de la materia.","Indaga sobre los saberes y prácticas del uso de materiales y sus propiedades y características para construcción, vestimenta y artefactos de uso común."
Saberes y Pensamiento Científico,Física,2º,"Estructura, propiedades y características de la materia.","Relaciona e interpreta las teorías sobre estructura de la materia, a partir de los modelos atómicos y de partículas y los fenómenos que les dieron origen."
Saberes y Pensamiento Científico,Física,2º,"Estructura, propiedades y características de la materia.",Explora algunos avances recientes en la comprensión de la constitución de la materia y reconoce el proceso histórico de construcción de nuevas teorías.
Saberes y Pensamiento Científico,Física,2º,Estados de agregación de la materia.,"Experimenta e interpreta los modelos atómicos y de partículas al proponer hipótesis que expliquen los tres estados de la materia, sus propiedades físicas como la temperatura de fusión, ebullición, densidad, entre otros."
Saberes y Pensamiento Científico,Física,2º,Estados de agregación de la materia.,Interpreta la temperatura y el equilibrio térmico con base en el modelo de partículas.
Saberes y Pensamiento Científico,Física,2º,Interacciones en fenómenos relacionados con la fuerza y el movimiento.,Experimenta e interpreta las interacciones de la fuerza y el movimiento relacionados con las Leyes de Newton para explicar actividades cotidianas.
Saberes y Pensamiento Científico,Física,2º,Interacciones en fenómenos relacionados con la fuerza y el movimiento.,Identifica los elementos y los diferentes tipos de movimiento relacionados con la velocidad y aceleración y realiza experimentos sencillos.
Saberes y Pensamiento Científico,Física,2º,Principios de Pascal y de Arquímedes.,"Experimenta e interpreta las interacciones de la fuerza y el movimiento relacionados con los principios de Pascal y de Arquímedes, para explicar actividades cotidianas."
Saberes y Pensamiento Científico,Física,2º,Principios de Pascal y de Arquímedes.,Identifica algunos aspectos del uso de estos principios en objetos cotidianos o de uso común.
Saberes y Pensamiento Científico,Física,2º,Principios de Pascal y de Arquímedes.,Explica el funcionamiento de algunos aparatos tecnológicos de uso cotidiano a partir de los principios de Pascal y de Arquímedes.
Saberes y Pensamiento Científico,Física,2º,Saberes y prácticas para el aprovechamiento de energías y la sustentabilidad.,Analiza las características de la energía mecánica (cinética y potencial) y describe casos donde se conserva.
Saberes y Pensamiento Científico,Física,2º,Saberes y prácticas para el aprovechamiento de energías y la sustentabilidad.,"Relaciona al calor como una forma de energía y describe los motores que funcionan con energía calorífica, los efectos del calor disipado, los gases de efecto invernadero y sus efectos en la atmósfera."
Saberes y Pensamiento Científico,Física,2º,Saberes y prácticas para el aprovechamiento de energías y la sustentabilidad.,"Diseña, construye y evalúa un prototipo o experimento de aprovechamiento de energía solar o eólica, que priorice el desarrollo sustentable."
Saberes y Pensamiento Científico,Física,2º,Interacciones de la electricidad y el magnetismo.,"Experimenta e interpreta algunas manifestaciones y aplicaciones de la electricidad, e identifica los cuidados que requiere su uso al revisar cuando los materiales son conductores o aislantes ante la corriente eléctrica."
Saberes y Pensamiento Científico,Física,2º,Interacciones de la electricidad y el magnetismo.,Descubre las características del magnetismo con base en la experimentación con imanes y el movimiento de cargas eléctricas.
Saberes y Pensamiento Científico,Física,2º,Interacciones de la electricidad y el magnetismo.,Relaciona e interpreta el electromagnetismo a partir de experimentos sobre el campo magnético generado por una corriente eléctrica y los efectos de atracción y repulsión magnética.
Saberes y Pensamiento Científico,Física,2º,Composición del Universo y el Sistema Solar.,Indaga cómo se lleva a cabo la exploración de los cuerpos celestes por medio de la detección y procesamiento de las ondas electromagnéticas que emiten.
Saberes y Pensamiento Científico,Física,2º,Composición del Universo y el Sistema Solar.,"Relaciona e interpreta las características y dinámica del Sistema Solar con la gravitación y el movimiento de los planetas, en particular el caso de la Tierra y la Luna."
Saberes y Pensamiento Científico,Física,2º,Composición del Universo y el Sistema Solar.,Indaga algunos avances recientes en la comprensión sobre la evolución del Universo y su composición.
Saberes y Pensamiento Científico,Física,2º,"Fenómenos, procesos y factores asociados al cambio climático.",Formula hipótesis que relacionan la actividad humana con el aumento de temperatura en el planeta y la emisión de gases de efecto invernadero; diferencia entre calor y temperatura.
Saberes y Pensamiento Científico,Física,2º,"Fenómenos, procesos y factores asociados al cambio climático.","Diferencia entre calor, radiación y temperatura, al explicar el efecto invernadero."
Saberes y Pensamiento Científico,Física,2º,"Fenómenos, procesos y factores asociados al cambio climático.",Explica la descomposición de la luz blanca en el espectro electromagnético para entender las características de la radiación solar y su relación con el efecto invernadero.
Saberes y Pensamiento Científico,Química,3º,"Los hitos que contribuyeron al avance del conocimiento científico y tecnológico en el ámbito nacional e internacional, así como su relación en la satisfacción de necesidades humanas y sus implicaciones en la naturaleza.","Reconoce los aportes de saberes de diferentes pueblos y culturas en la satisfacción de necesidades humanas en diversos ámbitos (medicina, construcción, artesanías, textiles y alimentos)."
Saberes y Pensamiento Científico,Química,3º,"Los hitos que contribuyeron al avance del conocimiento científico y tecnológico en el ámbito nacional e internacional, así como su relación en la satisfacción de necesidades humanas y sus implicaciones en la naturaleza.",Indaga en fuentes de consulta creadas en el ámbito nacional e internacional para valorar el alcance de las aportaciones científicas y tecnológicas de mujeres y hombres en el desarrollo de la Química y su influencia en la sociedad actual.
Saberes y Pensamiento Científico,Química,3º,"Los hitos que contribuyeron al avance del conocimiento científico y tecnológico en el ámbito nacional e internacional, así como su relación en la satisfacción de necesidades humanas y sus implicaciones en la naturaleza.","Reflexiona acerca de los hábitos de consumo responsable a partir del análisis de las actividades humanas y de sus implicaciones en la naturaleza, en el marco de la orientación sustentable."
Saberes y Pensamiento Científico,Química,3º,"Las propiedades extensivas e intensivas, como una forma de identificar sustancias y materiales de uso común, así como el aprovechamiento en actividades humanas.","Formula hipótesis para diferenciar propiedades extensivas (masa y volumen) e intensivas (temperatura de fusión, de ebullición, densidad, solubilidad y viscosidad), por medio de actividades experimentales y las contrasta con el análisis de datos de fuentes de consulta."
Saberes y Pensamiento Científico,Química,3º,"Las propiedades extensivas e intensivas, como una forma de identificar sustancias y materiales de uso común, así como el aprovechamiento en actividades humanas.",Reconoce la importancia del uso de instrumentos de medición para identificar y diferenciar propiedades de sustancias y materiales cotidianos.
Saberes y Pensamiento Científico,Química,3º,"Composición de las mezclas y su clasificación en homogéneas y heterogéneas, así como métodos de separación (evaporación, decantación, filtración, extracción, sublimación, cromatografía y cristalización) aplicados en diferentes contextos.","Describe los componentes de una mezcla en términos de soluto y disolvente, a partir de actividades experimentales de libre elección."
Saberes y Pensamiento Científico,Química,3º,"Composición de las mezclas y su clasificación en homogéneas y heterogéneas, así como métodos de separación (evaporación, decantación, filtración, extracción, sublimación, cromatografía y cristalización) aplicados en diferentes contextos.",Clasifica mezclas de uso cotidiano en homogéneas y heterogéneas a partir de sus propiedades estables observadas en el entorno.
Saberes y Pensamiento Científico,Química,3º,"Composición de las mezclas y su clasificación en homogéneas y heterogéneas, así como métodos de separación (evaporación, decantación, filtración, extracción, sublimación, cromatografía y cristalización) aplicados en diferentes contextos.","Deduce métodos para separar mezclas de uso cotidiano (evaporación, decantación, filtración, extracción, sublimación, cromatografía y cristalización) con base en las propiedades físicas de los componentes involucrados, a través de actividades experimentales."
Saberes y Pensamiento Científico,Química,3º,"Composición de las mezclas y su clasificación en homogéneas y heterogéneas, así como métodos de separación (evaporación, decantación, filtración, extracción, sublimación, cromatografía y cristalización) aplicados en diferentes contextos.","Analiza críticamente la importancia y utilidad de los métodos de separación de mezclas en actividades humanas, procesos industriales y en el cuidado del medio ambiente."
Saberes y Pensamiento Científico,Química,3º,Importancia de la concentración de sustancias en mezclas de productos de uso cotidiano.,"Analiza la concentración de sustancias expresada en porcentaje en masa y porcentaje en volumen en productos de higiene personal, alimentos y limpieza de uso común, entre otros, para la toma de decisiones orientadas al cuidado de la salud y el consumo responsable."
Saberes y Pensamiento Científico,Química,3º,Importancia de la concentración de sustancias en mezclas de productos de uso cotidiano.,"Relaciona la concentración de una mezcla con la efectividad o toxicidad de un producto de uso cotidiano, considerando sus efectos en la salud humana y el medio ambiente."
Saberes y Pensamiento Científico,Química,3º,Importancia de la concentración de sustancias en mezclas de productos de uso cotidiano.,Desarrolla habilidades de cálculo matemático al determinar concentraciones en partes por millón (ppm) o porcentaje en situaciones problemáticas contextualizadas en la comunidad.
Saberes y Pensamiento Científico,Química,3º,"Presencia de contaminantes y su concentración, relacionada con la degradación y contaminación ambiental en la comunidad.","Indaga situaciones problemáticas relacionadas con la degradación e inactivación de biomoléculas u otros componentes orgánicos en la comunidad por la presencia de contaminantes, para proponer medidas preventivas y de mitigación."
Saberes y Pensamiento Científico,Química,3º,"Presencia de contaminantes y su concentración, relacionada con la degradación y contaminación ambiental en la comunidad.","Sistematiza la información de diferentes fuentes de consulta, orales y escritas, acerca de la concentración de contaminantes (partes por millón, porcentaje en masa y volumen) en el aire, agua y suelo de su comunidad."
Saberes y Pensamiento Científico,Química,3º,"Presencia de contaminantes y su concentración, relacionada con la degradación y contaminación ambiental en la comunidad.",Diseña y ejecuta un plan de acción sustentable en su comunidad escolar o local para disminuir y mitigar los efectos de los contaminantes identificados.
Saberes y Pensamiento Científico,Química,3º,"Mezclas, compuestos y elementos representados con el modelo corpuscular de la materia en sólidos, líquidos y gases, así como su caracterización mediante actividades experimentales.","Explica semejanzas y diferencias de mezclas, compuestos y elementos, a partir de actividades experimentales y los clasifica con base en sus características en macroscópicas."
Saberes y Pensamiento Científico,Química,3º,"Mezclas, compuestos y elementos representados con el modelo corpuscular de la materia en sólidos, líquidos y gases, así como su caracterización mediante actividades experimentales.","Construye modelos corpusculares de mezclas, compuestos y elementos, en sólidos, líquidos y gases, para representar la estructura interna de la materia y explicar sus propiedades físicas."
Saberes y Pensamiento Científico,Química,3º,"Mezclas, compuestos y elementos representados con el modelo corpuscular de la materia en sólidos, líquidos y gases, así como su caracterización mediante actividades experimentales.",Argumenta la importancia de las aportaciones de John Dalton y otros científicos en la construcción del modelo atómico para comprender la naturaleza de la materia.
Saberes yamp; Pensamiento Científico,Química,3º,"La Tabla periódica: criterios de clasificación de los elementos químicos y sus propiedades (electronegatividad, energía de ionización y radio atómico).","Reconoce la organización y clasificación de los elementos químicos en la Tabla periódica a partir de sus propiedades e identifica grupos, periodos y bloques."
Saberes y Pensamiento Científico,Química,3º,"La Tabla periódica: criterios de clasificación de los elementos químicos y sus propiedades (electronegatividad, energía de ionización y radio atómico).","Construye modelos atómicos de Bohr (protones, neutrones, electrones) e identifica los electrones de valencia para explicar la reactividad de los elementos químicos."
Saberes y Pensamiento Científico,Química,3º,"La Tabla periódica: criterios de clasificación de los elementos químicos y sus propiedades (electronegatividad, energía de ionización y radio atómico).","Argumenta e interpreta las tendencias de las propiedades periódicas (electronegatividad, energía de ionización y radio atómico) en la Tabla periódica para predecir el comportamiento y la reactividad de los elementos químicos."
Saberes y Pensamiento Científico,Química,3º,"La Tabla periódica: criterios de clasificación de los elementos químicos y sus propiedades (electronegatividad, energía de ionización y radio atómico).",Representa los electrones de valencia de átomos de diferentes elementos químicos por medio de diagramas de Lewis y los relaciona con el grupo al que pertenecen en la Tabla periódica.
Saberes y Pensamiento Científico,Química,3º,"Los compuestos iónicos y moleculares: propiedades y estructura, así como su importancia en diferentes ámbitos.","Experimenta y diferencia los compuestos iónicos y moleculares, a partir de las propiedades identificadas en actividades experimentales."
Saberes y Pensamiento Científico,Química,3º,"Los compuestos iónicos y moleculares: propiedades y estructura, así como su importancia en diferentes ámbitos.","Analiza la formación y estructura de compuestos iónicos y moleculares, a partir de las propiedades de la Tabla periódica."
Saberes y Pensamiento Científico,Química,3º,"Los compuestos iónicos y moleculares: propiedades y estructura, así como su importancia en diferentes ámbitos.",Valora el aprovechamiento de propiedades de compuestos iónicos y moleculares en el cuerpo humano y en diferentes ámbitos.
Saberes y Pensamiento Científico,Química,3º,"Los alimentos como fuente de energía química: carbohidratos, proteínas y lípidos.","Reconoce los saberes de pueblos y culturas acerca de la diversidad de los alimentos y su importancia en el diseño de menús, orientados a una dieta saludable, acorde al contexto."
Saberes y Pensamiento Científico,Química,3º,"Los alimentos como fuente de energía química: carbohidratos, proteínas y lípidos.","Explica cómo obtiene la energía el cuerpo humano, a partir de los nutrimentos e identifica los alimentos que los contienen."
Saberes y Pensamiento Científico,Química,3º,"Los alimentos como fuente de energía química: carbohidratos, proteínas y lípidos.","Valora la importancia de vitaminas, minerales y agua simple potable, para el adecuado funcionamiento del cuerpo humano, e identifica los impactos de su deficiencia."
Saberes y Pensamiento Científico,Química,3º,"Los alimentos como fuente de energía química: carbohidratos, proteínas y lípidos.","Analiza el aporte energético de los alimentos y lo relaciona con las actividades físicas personales, a fin de tomar decisiones vinculadas a una dieta saludable."
Saberes y Pensamiento Científico,Química,3º,"Las reacciones químicas: manifestaciones, propiedades e interpretación de las ecuaciones químicas con base en la Ley de conservación de la materia, así como la absorción o desprendimiento de energía en forma de calor.","Reconoce distintas reacciones químicas en su entorno y en actividades experimentales, a partir de sus manifestaciones y el cambio de propiedades de reactivos a productos."
Saberes y Pensamiento Científico,Química,3º,"Las reacciones químicas: manifestaciones, propiedades e interpretación de las ecuaciones químicas con base en la Ley de conservación de la materia, así como la absorción o desprendimiento de energía en forma de calor.","Representa reacciones mediante modelos tridimensionales y ecuaciones químicas, con base en el lenguaje científico y la Ley de la conservación de la materia."
Saberes y Pensamiento Científico,Química,3º,"Las reacciones químicas: manifestaciones, propiedades e interpretación de las ecuaciones químicas con base en la Ley de conservación de la materia, así como la absorción o desprendimiento de energía en forma de calor.",Explica y representa intercambios de materia y energía –endotérmicas y exotérmicas– de reactivos a productos y su aprovechamiento en actividades humanas.
Saberes y Pensamiento Científico,Química,3º,"Las reacciones químicas: manifestaciones, propiedades e interpretación de las ecuaciones químicas con base en la Ley de conservación de la materia, así como la absorción o desprendimiento de energía en forma de calor.","Explica lo que cambia y lo que permanece en una reacción química y valora su importancia, para producir nuevas sustancias y satisfacer necesidades humanas, así como solucionar problemas relacionados con la salud y el medio ambiente."
"Ética, Naturaleza y Sociedades",Geografía,1º,El espacio geográfico como una construcción social y colectiva.,Comprende que el espacio geográfico se conforma de interrelaciones sociedad-naturaleza.
"Ética, Naturaleza y Sociedades",Geografía,1º,El espacio geográfico como una construcción social y colectiva.,Reconoce que el patrimonio biocultural es resultado de la relación entre las culturas ancestrales y la naturaleza.
"Ética, Naturaleza y Sociedades",Geografía,1º,El espacio geográfico como una construcción social y colectiva.,Distingue la distribución de las regiones bioculturales en México y el mundo.
"Ética, Naturaleza y Sociedades",Geografía,1º,Las categorías de análisis espacial y representaciones del espacio geográfico.,"Reconoce saberes ancestrales acerca del espacio geográfico, formas de ubicación y representaciones en México y el mundo."
"Ética, Naturaleza y Sociedades",Geografía,1º,Las categorías de análisis espacial y representaciones del espacio geográfico.,"Utiliza conceptos de localización, distribución, diversidad, temporalidad y cambio e interacción para el estudio del espacio geográfico."
"Ética, Naturaleza y Sociedades",Geografía,1º,Las categorías de análisis espacial y representaciones del espacio geográfico.,Emplea herramientas geográficas para el análisis de los componentes del espacio geográfico y representa sus variaciones.
"Ética, Naturaleza y Sociedades",Geografía,1º,La distribución y dinámica de las aguas continentales y oceánicas en la Tierra.,"Analiza la distribución de las aguas continentales en México y el Mundo: principales ríos, lagos, aguas subterráneas, llanuras inundables y humedales."
"Ética, Naturaleza y Sociedades",Geografía,1º,La distribución y dinámica de las aguas continentales y oceánicas en la Tierra.,"Reconoce la importancia de las cuencas hidrográficas para el desarrollo económico en México y el mundo, así como para la conservación del agua y biodiversidad."
"Ética, Naturaleza y Sociedades",Geografía,1º,La distribución y dinámica de las aguas continentales y oceánicas en la Tierra.,Valora el agua como recurso de vida y reconoce la importancia de su gestión sustentable para reducir la vulnerabilidad ante crisis hídricas.
"Ética, Naturaleza y Sociedades",Geografía,1º,"La relación de las placas tectónicas con el relieve, la sismicidad y el vulcanismo.","Identifica qué son las placas tectónicas, cuáles son sus características y dinámica."
"Ética, Naturaleza y Sociedades",Geografía,1º,"La relación de las placas tectónicas con el relieve, la sismicidad y el vulcanismo.","Argumenta la relación entre las placas tectónicas con las regiones sísmicas y volcánicas en México y el mundo, para fortalecer la cultura de la prevención."
"Ética, Naturaleza y Sociedades",Geografía,1º,"La relación de las placas tectónicas con el relieve, la sismicidad y el vulcanismo.","Relaciona los movimientos de las placas tectónicas con la formación del relieve (valles, montañas, mesetas, llanuras) y asocia su distribución en México y el mundo."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Los riesgos de desastre, su relación con los procesos naturales y la vulnerabilidad de la población en lugares específicos.",Identifica que los desastres pueden ser originados por procesos naturales o por actividades humanas.
"Ética, Naturaleza y Sociedades",Geografía,1º,"Los riesgos de desastre, su relación con los procesos naturales y la vulnerabilidad de la población en lugares específicos.",Relaciona los efectos de los desastres con las condiciones socioeconómicas de la población vulnerable y argumenta la importancia de la participación solidaria.
"Ética, Naturaleza y Sociedades",Geografía,1º,"Los riesgos de desastre, su relación con los procesos naturales y la vulnerabilidad de la población en lugares específicos.",Valora la importancia de consolidar una cultura de prevención de desastres con el uso de herramientas geográficas.
"Ética, Naturaleza y Sociedades",Geografía,1º,"Crecimiento, distribución, composición y migración de la población.","Analiza las implicaciones sociales, ambientales y económicas del crecimiento, distribución y composición de la población en diferentes países, con base en información estadística y cartográfica."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Crecimiento, distribución, composición y migración de la población.",Emplea las nociones de concentración y dispersión de la población para explicar los rasgos del espacio urbano y rural.
"Ética, Naturaleza y Sociedades",Geografía,1º,"Crecimiento, distribución, composición y migración de la población.","Reconoce los tipos de migración y sus principales flujos, analiza los efectos socioeconómicos y culturales en los lugares de atracción y expulsión de población."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Los procesos productivos y sus consecuencias ambientales y sociales en la comunidad, México y el mundo.","Compara procesos productivos de granos básicos en México y el mundo, para analizar sus implicaciones sociales y ambientales."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Los procesos productivos y sus consecuencias ambientales y sociales en la comunidad, México y el mundo.","Analiza contradicciones en los procesos productivos de la comunidad, de México y el mundo en cuanto al acceso a bienes y servicios, así como su impacto en el medio ambiente."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Las prácticas de producción, distribución y consumo sustentables como alternativas para preservar el medio ambiente y asegurar el bienestar de las generaciones presentes y futuras.","Comprende qué es el desarrollo sustentable e identifica prácticas de producción, distribución y consumo sustentables en México y el mundo."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Las prácticas de producción, distribución y consumo sustentables como alternativas para preservar el medio ambiente y asegurar el bienestar de las generaciones presentes y futuras.","Evalúa estrategias de consumo sustentable implementadas a nivel personal, familiar y comunitario, así como por instituciones del Estado o de la sociedad civil para el cuidado de la biodiversidad y el bienestar social."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Las prácticas de producción, distribución y consumo sustentables como alternativas para preservar el medio ambiente y asegurar el bienestar de las generaciones presentes y futuras.","Propone alternativas sustentables en la producción, distribución y consumo de bienes y servicios para asegurar el bienestar de las generaciones presentes y futuras en la comunidad."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Las desigualdades socioeconómicas en México y el mundo, y sus efectos en la calidad de vida de las personas.",Comprende qué son las desigualdades socioeconómicas e identifica sus efectos y repercusiones en la vida de las personas.
"Ética, Naturaleza y Sociedades",Geografía,1º,"Las desigualdades socioeconómicas en México y el mundo, y sus efectos en la calidad de vida de las personas.","Compara las desigualdades socioeconómicas en México y el mundo, mediante el análisis de indicadores de calidad de vida, para explicar sus efectos en el bienestar de la población."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Las desigualdades socioeconómicas en México y el mundo, y sus efectos en la calidad de vida de las personas.","Propone acciones para reducir las desigualdades socioeconómicas en la comunidad, México y el mundo, a partir de la solidaridad y la justicia social."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Los conflictos territoriales actuales en México y el mundo, y sus implicaciones ambientales y sociales.","Debate acerca de la multicausalidad de los conflictos territoriales en México y el mundo, la importancia de la ubicación geográfica de las partes involucradas y las consecuencias ambientales, sociales, económicas y políticas en México y el mundo."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Los conflictos territoriales actuales en México y el mundo, y sus implicaciones ambientales y sociales.","Promueve alternativas de resolución pacífica para disminuir las implicaciones de los conflictos territoriales en el lugar donde vive, en México y el mundo."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Los retos sociales y ambientales en la comunidad, en México y el mundo.","Reconoce cómo las problemáticas sociales y ambientales afectan a la comunidad, México y el mundo, y propone acciones orientadas a la sustentabilidad."
"Ética, Naturaleza y Sociedades",Geografía,1º,"Los retos sociales y ambientales en la comunidad, en México y el mundo.","Asume responsabilidad social frente a los retos sociales y ambientales de la comunidad, México y el mundo, a partir de la participación comunitaria."
"Ética, Naturaleza y Sociedades",Geografía,1º,La diversidad de grupos sociales y culturales en México.,"Reconoce la diversidad de pueblos originarios y afromexicanos en México, a partir de su origen, ubicación y características de su cultura para valorar su identidad."
"Ética, Naturaleza y Sociedades",Geografía,1º,La diversidad de grupos sociales y culturales en México.,Valora la importancia de la pluriculturalidad en México y argumenta la necesidad de promover el respeto a los derechos culturales y colectivos de todos los pueblos.
"Ética, Naturaleza y Sociedades",Geografía,1º,"El suelo, recurso estratégico para la seguridad alimentaria y la vida en el planeta.","Comparte alternativas para el cuidado y uso sustentable del suelo en la comunidad, a partir de la identificación de sus funciones y causas de degradación."
"Ética, Naturaleza y Sociedades",Geografía,1º,"El suelo, recurso estratégico para la seguridad alimentaria y la vida en el planeta.","Comprende que el suelo es un recurso estratégico para la seguridad alimentaria y la vida en el planeta, y asume de manera responsable un papel para su conservación."
"Ética, Naturaleza y Sociedades",Geografía,1º,"El suelo, recurso estratégico para la seguridad alimentaria y la vida en el planeta.",Analiza la distribución de los principales tipos de suelo en México y el mundo y los asocia con las actividades económicas de la población.
"Ética, Naturaleza y Sociedades",Geografía,1º,El reto del cambio climático.,"Reconoce las relaciones e interacciones entre los elementos y los factores del clima como base para comprender, de manera integral, el funcionamiento global de la atmósfera."
"Ética, Naturaleza y Sociedades",Geografía,1º,El reto del cambio climático.,"Indaga y analiza de manera crítica los cambios ocurridos en el clima, sus causas y consecuencias en México y el mundo."
"Ética, Naturaleza y Sociedades",Geografía,1º,El reto del cambio climático.,Asume una postura crítica y activa ante los fenómenos derivados del calentamiento global y el cambio climático.
